code_insee,commune,code_region,region,code_departement,departement,log_rp,log_proprio,log_loc,log_hlm,log_sec,log_maison,log_appart,age_0_14,age_15_29,age_75p,femmes,chom,agric,indep,cadres,interm,empl,ouvr,etud,dipl_aucun,dipl_bepc,dipl_capbep,dipl_bac,dipl_sup2,dipl_sup34,dipl_sup,resid_sec,proprio,locataire,hlm,maison,appart
2A001,Afa,94,Corse,2A,Corse-du-Sud,1335.68996032957,1011.47451937748,245.588342996643,0,114.555597174657,1145.43179737565,181.521818736649,15.807140677448883,13.182789136405248,8.880073237717436,50.076289288983965,7.04394942805541,1.0234798314268525,10.295003010234796,12.58278145695364,27.995183624322696,30.644190246839237,17.098133654425055,35.15151515151509,15.962805114296819,6.082913599380092,24.680356450988018,23.091824874079865,11.274699728787297,11.429678419217371,7.477721813250702,7.899048308191291,75.72674418604653,18.38662790697672,0,85.75581395348846,13.590116279069736
2A004,Ajaccio,94,Corse,2A,Corse-du-Sud,30074.6599070667,13639.6634274884,15370.4407865456,4109.17692045634,3370.98489188338,3149.57843704299,26867.1265197092,16.823577180074274,14.516929885145515,11.926768306632233,53.01838096612636,9.69634936213434,0.3068763160240254,7.065231814441359,10.496757724168388,23.87445924503149,36.96185245053561,19.946924372356094,41.17555667895198,21.043546603181067,8.212990091569166,21.115927087737443,23.07795299854361,9.836480077271057,9.315566093334004,7.397537048363543,10.078995074387686,45.35267720278846,51.10761296733393,13.663253161146466,10.47253218083084,89.33476422586637
2A006,Alata,94,Corse,2A,Corse-du-Sud,1331.72375070185,1106.94834362718,169.2869174621,0.940482874789444,137.922092618385,1231.09208309938,91.2268388545761,15.918023582257163,12.689500280741164,7.523862998315564,48.93318360471642,6.991051454138715,0.44742729306487566,11.297539149888133,14.653243847874664,29.642058165548008,29.865771812080453,13.534675615212466,41.74757281553409,13.805565594506708,6.902782797253354,23.671846765449967,22.876761835923396,12.034694615106627,11.239609685580055,9.46873870617997,9.384716273329524,83.12146892655419,12.711864406779693,0.07062146892655383,92.4435028248588,6.850282485875724
2A032,Bastelicaccia,94,Corse,2A,Corse-du-Sud,1736.69968150934,1105.70862574873,525.825879800509,0.982852111776652,320.130589293747,1348.47309735757,379.380915145788,15.66549381218152,13.310924575452207,8.487496647466763,51.53122964533408,9.026687920658558,0.6241858668540491,10.467116844167872,11.907545767677236,27.46417814157811,32.98582234836392,15.734907974703694,30.90128755364804,16.869020815214476,7.18074903257284,21.757055829462104,24.764378073872944,12.305471632742309,9.359523311686807,7.763801304448399,15.564268663196618,63.667232597623034,30.277306168647506,0.05659309564233177,77.64572722127939,21.84493491794008
2A041,Bonifacio,94,Corse,2A,Corse-du-Sud,1406,786,519,108,1733,919,472,15.522107243650046,15.61618062088429,10.943869551583568,50.67419253684541,14.96792587312901,2.70848182466144,18.317890235210264,7.056307911617961,14.96792587312901,37.847469707769065,18.8168210976479,22.660098522167488,22.86512370311253,12.370311252992817,22.98483639265762,23.06464485235435,7.462090981644054,5.58659217877095,5.666400638467677,55.20866517999363,55.903271692745385,36.913229018492174,7.681365576102419,65.36273115220483,33.57041251778094
2A103,Cuttoli-Corticchiato,94,Corse,2A,Corse-du-Sud,811,628,131,18,244,752,56,15.841098577734183,14.565963707699852,8.582638548307994,51.64296223639039,9.63350785340314,1.6753926701570683,9.319371727748692,11.937172774869111,26.07329842931937,31.518324607329845,18.638743455497384,40.49586776859504,19.80952380952381,8.190476190476192,27.3015873015873,22.349206349206348,8.253968253968253,8.190476190476192,5.904761904761905,23.127962085308056,77.43526510480888,16.152897657213316,2.219482120838471,92.72503082614057,6.90505548705302
2A130,Grosseto-Prugna,94,Corse,2A,Corse-du-Sud,1560.52351557907,1042.58700764256,425.858906525573,0,2582.00883115354,1109.72692533804,442.16431510876,11.46384479717815,13.139329805996477,10.993533215755434,51.32275132275145,8.333333333333353,0.8024691358024746,13.271604938271619,13.024691358024745,27.962962962963072,30.555555555555614,13.51851851851856,23.976608187134467,15.903530234183835,7.479902132121616,19.958056623558186,24.676686473261082,12.023767913317018,9.786787836420825,10.17126878713736,62.329237650735045,66.81007990165934,27.289489858635534,0,71.11247695144466,28.33435771358333
2A209,Peri,94,Corse,2A,Corse-du-Sud,841.999999973892,577.457040587312,197.978423689807,0,239.885148514852,747.97247825946,90.0030079629926,17.6440036031724,12.891143763454002,9.193413328676549,50.220167868388366,9.779634994381151,0.49993822388992304,8.685779082753966,11.675845674320243,27.339102179591674,30.831278201258456,20.369752827834457,27.70341292093974,20.03497345410863,5.567300560680243,25.63624853827292,20.124443357332815,12.685024482308748,9.216940446656041,6.73506916064035,22.172884880612422,68.58159627140348,23.512876923508994,0,88.83283590055254,10.689193345104908
2A247,Porto-Vecchio,94,Corse,2A,Corse-du-Sud,5105.48836900167,2763.1980909736,2018.58860729834,285.385515849092,7478.62360097602,3289.46248681716,1803.35180010633,17.42162213700928,14.728154082646746,8.75339954528684,51.593848596893174,14.298979010765366,0.5803098283261141,14.85446775696497,7.885298902310824,19.78037503796936,35.13428037117007,19.90435249197663,30.283955354784105,23.935566687069677,5.079532625412711,20.389543261420016,28.645838267301766,7.603504881057161,9.343941996756175,5.002072280982479,59.42909296117204,54.12211117256774,39.53762032941534,5.589778983374638,64.42992812968416,35.32182760527879
2A249,Propriano,94,Corse,2A,Corse-du-Sud,1733,758,861,186,1436,441,1258,14.678899082568808,14.516999460334592,12.196438208310848,50.4317323259579,17.879548306148056,0.6273525721455459,12.233375156838143,5.144291091593475,17.691342534504393,35.445420326223335,27.540777917189462,25.71428571428571,31.716293074606895,10.13716962194714,20.910003345600536,19.705587152893944,6.791569086651054,5.4198728671796585,5.319504851120776,45.31397917324077,43.73918061165609,49.682631275245235,10.732833237160992,25.44720138488171,72.59088286208886
2A271,Sarrola-Carcopino,94,Corse,2A,Corse-du-Sud,1359.56705775358,717.384364535188,581.823457029918,317.628111745925,96.5788596579299,607.550344585663,739.153269390049,18.92395339697347,14.04920311140202,8.082476486456677,53.856359527507344,9.386068476977561,0.8854781582054275,7.142857142857142,7.556080283352971,23.14049586776856,41.73553719008258,19.067296340023614,30.158730158730222,18.829959889883398,9.897061568382004,25.700777012279254,23.007819134251008,10.061070374266173,7.575865739985277,4.927446280952961,6.632498742269695,52.76564774381383,42.79475982532763,23.362445414847258,44.6870451237265,54.366812227074405
2A272,Sartène,94,Corse,2A,Corse-du-Sud,1528.99999999947,793.499132034108,612.260455949233,94.8741594818306,1061.14903846154,564.186358438409,948.233098877982,14.389087816765525,14.763177596065248,13.78253402964085,51.3577691032179,16.437845527137025,2.5851927668277606,12.212213317630669,9.362632017010473,18.3370752277018,32.900588718399284,22.636647473665032,34.318837069590934,29.073204328719882,10.916844804061153,14.3814913885638,21.026978071304463,9.042809920441938,9.482827446713026,6.0758440401957685,40.96864785402632,51.89660771971112,40.043195287733504,6.204980999467854,36.899042409326654,62.01655322945132
2A362,Zonza,94,Corse,2A,Corse-du-Sud,1213,720,391,25,2921,909,291,18.761384335154826,13.36976320582878,9.836065573770492,50.96539162112933,16.181229773462782,1.3754045307443366,13.592233009708737,5.906148867313916,21.35922330097087,33.25242718446602,23.54368932038835,18.3206106870229,23.89127324749642,9.394372913686217,20.648545541249405,21.363853123509777,9.15593705293276,8.488316642823081,7.057701478302336,70.65795839380745,59.35696619950536,32.234130255564715,2.061005770816158,74.93816982687551,23.990107172300082
